discount,unitPrice,customerID,customerSegment,productCategory,baseMargin,region,profit,quantityOrdered,sales,orderID
0.03,4.24,33,Corporate,Office Supplies,0.35,West,-84.4376,13,58.68,89201
0.04,2.94,33,Corporate,Office Supplies,0.58,West,24.312,18,53.1,89201
0,99.99,43,Consumer,Technology,0.52,West,25.91382,6,647.07,91454
0,115.99,52,Corporate,Technology,0.57,West,162.666,6,627.04,88426
0.07,3502.14,53,Corporate,Technology,0.57,West,-6923.5992,1,3267.55,88425
0.02,5.98,53,Corporate,Office Supplies,0.36,West,-67.49,17,110.19,88426
0.06,3.8,56,Consumer,Office Supplies,0.38,East,19.6282,20,73.55,88075
0.06,1.76,56,Consumer,Office Supplies,0.56,East,-1.6524,17,29.57,88075
0.02,5.98,62,Corporate,Office Supplies,0.36,Central,2.14,3,22.85,87407
0.04,29.14,62,Corporate,Office Supplies,0.38,Central,349.4091,17,506.39,87408
0,3.69,64,Small Business,Office Supplies,0.38,South,-37.5291,1,4,87406
0.02,175.99,64,Small Business,Technology,0.59,South,101.49,4,589.8,87406
0.05,155.06,67,Corporate,Office Supplies,0.59,West,845.664,8,1225.6,87946
0,291.73,68,Corporate,Furniture,0.56,East,-308.928,4,1239.06,37537
0.07,100.98,68,Corporate,Furniture,0.69,East,-1679.76,43,4083.19,37537
0.05,155.06,68,Corporate,Office Supplies,0.59,East,575.396,32,4902.38,37537
0.09,122.99,68,Corporate,Furniture,0.74,East,-2426.55,49,5718.85,55713
0.09,122.99,70,Corporate,Furniture,0.74,East,-2426.55,12,1400.53,87947
0.04,296.18,83,Corporate,Furniture,0.76,East,-715.778206,6,1821.89,87365
0,8.09,84,Consumer,Furniture,0.49,East,-144.56,11,90.98,87364
0.08,896.99,84,Corporate,Office Supplies,0.38,East,7402.32,13,10728,87366
0.05,161.55,87,Corporate,Office Supplies,0.66,West,1892.424,19,3127.69,90596
0.09,4.91,87,Corporate,Office Supplies,0.36,West,28.8558,9,41.82,90597
0.01,296.18,87,Corporate,Furniture,0.76,West,173.48,9,2875.72,90597
0.07,19.84,91,Home Office,Office Supplies,0.44,West,117.852,9,170.8,87175
0.05,5.18,91,Home Office,Office Supplies,0.36,West,34.0104,10,53.54,87176
0.06,175.99,91,Corporate,Technology,0.57,West,2031.507,23,3363.53,87177
0.07,8.34,92,Home Office,Office Supplies,0.35,South,-190.68,16,132.08,87175
0.09,4.98,92,Home Office,Office Supplies,0.36,South,325.398,9,45.34,87175
0.04,12.98,92,Corporate,Office Supplies,0.6,South,22.818,16,216.04,87178
0.04,160.98,94,Home Office,Furniture,0.62,Central,116.1,37,6276.34,44231
0.01,17.98,94,Home Office,Technology,0.79,Central,-87.96,146,2664.4,44231
0.04,160.98,97,Home Office,Furniture,0.62,Central,255.42,9,1526.68,87306
0.06,115.99,97,Home Office,Technology,0.58,Central,685.6146,20,1952.56,87306
0.1,19.98,101,Consumer,Technology,0.68,East,-16.2,16,303.59,88205
0.04,300.98,102,Consumer,Furniture,0.55,East,2023.75,31,9459.94,42599
0.1,19.98,102,Consumer,Technology,0.68,East,-20.25,65,1233.32,3397
0.09,2.88,102,Consumer,Office Supplies,0.36,East,-3.381,17,47.31,3397
0.04,300.98,107,Consumer,Furniture,0.55,East,1684.4763,8,2441.27,88204
0.09,2.88,109,Consumer,Office Supplies,0.36,East,-2.7048,4,11.13,88205
0.03,4.26,114,Home Office,Office Supplies,0.44,West,18.658,7,29.5,89583
0.01,4.91,114,Home Office,Office Supplies,0.36,West,40.2477,12,58.33,89584
0.09,4,114,Home Office,Office Supplies,0.37,West,14.0898,5,20.42,89584
0.07,2.12,115,Home Office,Technology,0.55,West,-55.84,12,26.07,89585
0.03,4.26,117,Home Office,Office Supplies,0.44,West,9.82,29,122.23,7909
0.01,4.91,117,Home Office,Office Supplies,0.36,West,112.06,47,228.46,13959
0.09,4,117,Home Office,Office Supplies,0.37,West,16.79,19,77.61,13959
0.07,2.12,117,Home Office,Technology,0.55,West,-55.84,46,99.94,58914
0.05,6.3,120,Corporate,Office Supplies,0.39,West,41.2965,10,59.85,86520
0.09,205.99,120,Corporate,Technology,0.58,West,1179.0237,10,1708.73,86520
0.06,8.57,123,Home Office,Office Supplies,0.59,South,105.678,11,94.97,90669
0.02,1.74,129,Small Business,Furniture,0.53,Central,-37.39,5,10.23,86693
0.07,15.74,129,Small Business,Office Supplies,0.4,Central,149.8887,14,217.23,86694
0.04,18.97,136,Small Business,Office Supplies,0.37,West,3.04,5,101.74,88534
0.09,10.98,136,Small Business,Office Supplies,0.57,West,2.706,8,84.52,88534
0.03,22.84,142,Small Business,Office Supplies,0.39,East,91.956,13,312.59,91087
0.05,10.98,144,Small Business,Office Supplies,0.57,East,-2.544,6,64.4,91087
0.06,7.04,145,Small Business,Office Supplies,0.38,East,2.4852,2,14.65,91086
0.07,154.13,145,Home Office,Furniture,0.68,East,-634.7341,3,453.62,91089
0.01,45.98,146,Small Business,Furniture,0.68,Central,133.5771,4,193.59,91088
0.06,180.98,146,Corporate,Furniture,0.59,Central,251.4084,5,929.57,91090
0.09,32.98,151,Home Office,Technology,0.75,South,-20.258,2,62.46,89521
0.09,5.98,151,Home Office,Office Supplies,0.36,South,13.896,5,28.11,89523
0.09,2.88,152,Consumer,Office Supplies,0.56,South,-172.718,2,5.5,89520
0.01,79.52,152,Home Office,Furniture,0.74,South,-40.684,8,667.84,89522
0.01,65.99,152,Consumer,Technology,0.6,South,97.86,5,292.23,89524
0.1,39.98,152,Small Business,Technology,0.7,South,360.24,21,772.56,89525
0.01,95.99,156,Corporate,Technology,0.56,West,713.88,13,1050.08,87671
0.03,10.89,156,Corporate,Office Supplies,0.59,West,-18.64,3,33.82,87672
0.05,100.98,164,Home Office,Furniture,0.62,West,-111.4,7,715.55,89961
0.02,4.98,164,Home Office,Office Supplies,0.38,West,-77.03,9,45.63,89961
0.08,399.98,166,Consumer,Technology,0.56,South,28.5141,5,1839.91,89426
0.08,43.22,169,Corporate,Technology,0.66,South,280.27458,3,130.62,87463
0.05,574.74,169,Corporate,Technology,0.37,South,-112.4263,12,6945.16,87463
0.04,10.14,169,Corporate,Office Supplies,0.36,South,24.924,3,30.94,87463
0.05,1.88,171,Corporate,Office Supplies,0.37,East,-2.9095,1,3.42,87464
0.02,49.99,181,Small Business,Technology,0.41,West,-76.89,18,901.81,38087
0.07,1.68,181,Corporate,Office Supplies,0.59,West,-35.75,116,186.59,3585
0.02,49.99,184,Small Business,Technology,0.41,East,-76.89,5,250.5,88360
0.07,10.06,188,Corporate,Office Supplies,0.39,Central,152.6556,23,221.24,88361
0.07,1.68,188,Corporate,Office Supplies,0.59,Central,7.15,29,46.65,88361
0.1,58.1,190,Corporate,Office Supplies,0.38,Central,113.6499,3,164.71,89092
0.01,80.48,191,Corporate,Office Supplies,0.55,Central,-35.4744,1,79.68,89092
0.05,3.8,191,Corporate,Office Supplies,0.38,Central,14.467,14,53.26,89093
0.09,30.73,191,Corporate,Technology,0.75,Central,-99.9864,7,203.49,89093
0,125.99,191,Corporate,Technology,0.57,Central,1348.59672,22,2356.01,89093
0,213.45,193,Corporate,Technology,0.59,West,-560.81418,1,224.12,90430
0.07,6.54,193,Corporate,Office Supplies,0.36,West,-66.0445,21,140.3,90432
0.02,6.48,194,Corporate,Office Supplies,0.37,West,-105.6852,4,28.2,90431
0.09,3.29,194,Corporate,Office Supplies,0.4,West,15.66,23,71.55,90432
0,161.55,197,Small Business,Office Supplies,0.66,Central,1167.158,19,3108.98,88921
0,161.55,198,Small Business,Office Supplies,0.66,Central,1014.92,77,12599.55,51072
0.09,12.28,202,Corporate,Office Supplies,0.38,Central,1.73,3,34.65,88971
0.03,7.37,202,Corporate,Technology,0.69,Central,-133.7,11,85.79,88972
0.05,1.86,210,Home Office,Office Supplies,0.82,East,-66.62,9,17.61,85965
0.09,5.4,210,Home Office,Office Supplies,0.37,East,-21.48775,4,27.3,85966
0.02,20.28,210,Home Office,Furniture,0.53,East,44.6775,3,64.75,85966
0,11.55,210,Home Office,Office Supplies,0.55,East,23.595,5,62.98,85966
0.01,10.06,211,Consumer,Office Supplies,0.39,East,7.59,2,21.2,85964
0,65.99,211,Consumer,Technology,0.55,East,-107.987,3,173.32,85964
0.05,2.08,211,Home Office,Office Supplies,0.55,East,-36.25,20,42.29,85966
0.05,119.99,218,Consumer,Technology,0.39,West,-102.5121,6,730.37,88048
0.03,60.89,228,Small Business,Furniture,0.56,South,36.354,7,450.49,88527
0.07,5.81,233,Small Business,Office Supplies,0.39,Central,-243.2365,10,58.8,90237
0.04,9.65,233,Small Business,Furniture,0.55,Central,-53.62,12,120.47,90237
0.06,279.81,234,Small Business,Office Supplies,0.59,Central,1103.9724,6,1599.96,90236
0.03,28.53,234,Small Business,Office Supplies,0.38,Central,136.3371,7,197.59,90238
0.01,15.28,234,Small Business,Technology,0.42,Central,-12.46,2,33.04,90238
0.06,3.34,234,Small Business,Office Supplies,0.54,Central,-175.86,8,27.45,90239
0,442.14,236,Corporate,Technology,0.56,West,3294.8259,10,4775.11,86621
0.1,19.98,240,Small Business,Office Supplies,0.38,West,35.09,3,57.41,90479
0.06,259.71,241,Small Business,Furniture,0.61,West,785.63,11,2809.87,90479
0.01,5.94,241,Small Business,Office Supplies,0.38,West,-256.519,13,79.93,90480
0.02,125.99,241,Small Business,Technology,0.59,West,398.358,8,873.18,90480
0.02,146.05,247,Corporate,Furniture,0.71,South,-101.192,5,798.69,89139
0.06,65.99,247,Corporate,Technology,0.55,South,-3.332,14,792.11,89139
0.09,2.88,247,Corporate,Office Supplies,0.36,South,-145.082,10,28.73,89140
0.02,2.58,250,Corporate,Office Supplies,0.59,Central,1.108,39,109.74,87214
0.02,65.99,250,Corporate,Technology,0.55,Central,1061.379,27,1543.55,87214
0.1,280.98,254,Home Office,Furniture,0.66,West,-53.745,5,1332.82,86268
0.03,8.34,256,Home Office,Office Supplies,0.59,East,0.684,4,34.64,86267
0.05,17.48,258,Consumer,Technology,0.45,South,-127.008,3,52.47,85858
0.09,2.88,259,Consumer,Office Supplies,0.56,West,5.7532,10,26.38,85857
0.05,31.76,263,Small Business,Furniture,0.65,East,-2177.986096,9,304.34,86297
0,73.98,266,Corporate,Technology,0.67,Central,326.25,17,1300.81,90593
0.08,6.48,266,Corporate,Office Supplies,0.37,Central,8.932,10,67.86,90594
0.01,20.34,266,Corporate,Office Supplies,0.84,Central,229.638,33,747.28,90594
0.02,5.58,268,Home Office,Office Supplies,0.35,West,-22.48,3,18.67,88941
0.03,40.89,268,Home Office,Furniture,0.57,West,78.98,5,210.77,88941
0.09,35.94,269,Home Office,Office Supplies,0.4,West,144.2928,6,209.12,88942
0,170.98,269,Home Office,Furniture,0.75,West,888.1473,7,1287.17,88942
0.09,4.98,269,Home Office,Office Supplies,0.36,West,-46.005,9,46.17,88942
0.1,80.97,271,Small Business,Technology,0.4,South,128.0253,12,899.81,88940
0.02,5.58,272,Home Office,Office Supplies,0.35,South,-29.8984,11,68.46,5509
0.03,40.89,272,Home Office,Furniture,0.57,South,52.9166,21,885.23,5509
0.09,35.94,272,Home Office,Office Supplies,0.4,South,72.1858,24,836.47,36069
0.09,4.98,272,Home Office,Office Supplies,0.36,South,-122.3733,37,189.83,36069
0.09,15.28,275,Corporate,Office Supplies,0.36,East,-51.75,4,61.52,89292
0.04,1.98,276,Corporate,Office Supplies,0.83,East,-1,3,8.3,89291
0.03,55.99,282,Corporate,Technology,0.83,East,-221.254,9,416.95,89291
0.1,1.68,283,Corporate,Office Supplies,0.59,East,-11.57,11,18.71,89293
0,4.13,286,Small Business,Office Supplies,0.38,Central,-61.87,9,40.95,89761
0.1,130.98,286,Small Business,Furniture,0.69,Central,-530.24,9,1155.73,89761
0.09,28.48,288,Small Business,Technology,0.4,Central,132.687,7,192.3,89762
0.08,65.99,288,Small Business,Technology,0.58,Central,496.89,14,748.1,89762
0.04,4.98,290,Small Business,Technology,0.64,West,-135.16,20,102.54,90837
0.01,8.33,306,Small Business,Technology,0.52,East,15.8952,8,70.16,87057
0.04,85.99,306,Small Business,Technology,0.55,East,855.9933,17,1240.57,87057
0.01,8.33,308,Small Business,Technology,0.52,West,10.74,32,280.62,37760
0.04,1637.53,314,Corporate,Office Supplies,0.81,Central,-1759.58,2,3206.94,89166
0.01,19.98,315,Corporate,Technology,0.68,East,-72.23,2,43.08,89166
0.09,7.38,317,Corporate,Furniture,0.56,West,-27.16,9,66.55,86041
0.04,5.98,317,Corporate,Office Supplies,0.36,West,-52.344,17,103.49,86041
0.04,15.42,317,Corporate,Office Supplies,0.58,West,-119.936,12,192.18,86041
0.04,8.33,321,Consumer,Technology,0.52,East,9.9268,11,89.76,91057
0.06,7.99,326,Consumer,Technology,0.6,Central,-29.172,4,28.46,90973
0.06,296.18,329,Home Office,Furniture,0.76,East,-715.778206,5,1170.21,89726
0.01,29.1,331,Home Office,Technology,0.78,East,-22.82,8,243.32,89726
0.06,276.2,335,Corporate,Furniture,,West,2639.4708,14,3825.32,87277
0.09,6.28,335,Corporate,Furniture,0.43,West,-5.2,1,8.53,87277
0.08,7.77,339,Corporate,Office Supplies,0.58,East,-83.65,5,40.3,90583
0.07,7.59,339,Corporate,Furniture,0.42,East,24.39,15,111.88,90583
0.01,3.26,342,Corporate,Office Supplies,0.41,South,-4.6683,20,73.97,3332
0.03,15.23,343,Corporate,Furniture,0.76,East,11.65095,7,111.86,88151
0.01,3.26,344,Corporate,Office Supplies,0.41,East,0.702,5,18.49,88152
0,8.34,349,Home Office,Office Supplies,0.59,South,5.8625,23,212.89,17446
0.04,99.23,349,Home Office,Furniture,0.35,South,1916.6757,54,5555.6,11527
0,8.34,351,Home Office,Office Supplies,0.59,East,10.5,6,55.54,88685
0.04,99.23,351,Home Office,Furniture,0.35,East,993.8346,14,1440.34,88686
0.08,4.89,353,Home Office,Technology,0.66,West,-165.45,17,84.76,89647
0.07,6.68,353,Home Office,Office Supplies,0.37,West,-141.12,16,104.84,89647
0.07,124.49,357,Corporate,Furniture,0.63,West,1074.44,14,1714.93,91131
0.04,125.99,358,Corporate,Technology,0.59,East,-627.82192,1,107.95,91130
0.05,328.14,366,Small Business,Office Supplies,0.57,East,411.5172,6,1967.98,87347
0.09,19.23,369,Corporate,Furniture,0.44,West,211.232,21,394.1,90292
0.02,20.99,370,Corporate,Technology,0.58,East,49.788,15,266.39,90291
0.05,5.4,371,Corporate,Office Supplies,0.37,East,-132.6295,9,51.82,90291
0.02,200.98,373,Small Business,Furniture,0.75,Central,-163.63,45,9539.6,24193
0.02,4.28,373,Small Business,Office Supplies,0.4,Central,-63.87,24,109.86,24193
0.04,85.99,373,Small Business,Technology,0.85,Central,-175.175,19,1426.51,24193
0.02,200.98,375,Small Business,Furniture,0.75,South,-224.9478,11,2331.9,90917
0.02,4.28,375,Small Business,Office Supplies,0.4,South,196.8,6,27.47,90917
0.03,25.98,377,Consumer,Office Supplies,0.5,Central,250.0376,17,460.87,89579
0.07,415.88,381,Corporate,Office Supplies,0.57,Central,-539.59,1,394.51,88929
0.06,5.34,383,Corporate,Office Supplies,0.39,East,-82.823,7,38.65,88928
0.07,65.99,383,Corporate,Technology,0.56,East,107.082,5,279.83,88928
0.1,8.88,387,Corporate,Office Supplies,0.35,Central,-27.28375,15,126.9,90339
0.03,5.28,388,Corporate,Office Supplies,0.4,Central,-51.5592,4,22.82,90337
0.01,110.99,388,Corporate,Technology,0.57,Central,-263.56572,2,188.66,90337
0.03,160.98,389,Corporate,Furniture,0.62,Central,1273.2087,11,1845.23,90338
0.02,34.98,392,Corporate,Technology,0.76,Central,-159.68,1,37.16,86383
0.01,19.99,392,Corporate,Furniture,0.6,Central,27.91,2,43.65,86383
0.07,9.71,393,Corporate,Office Supplies,0.6,East,-81.77,3,31.44,86382
0.04,15.98,395,Corporate,Technology,0.37,South,-19.208,4,64.59,86384
0.06,22.84,395,Corporate,Office Supplies,0.39,South,7.44,20,461.94,86384
0.1,154.13,397,Corporate,Furniture,0.68,East,-372.485971,8,1216.32,89319
0.05,63.94,398,Corporate,Furniture,0.46,East,1372.6308,31,1989.32,89320
0.03,4.98,406,Small Business,Office Supplies,0.36,East,50.2044,15,72.76,87804
0.07,29.17,408,Corporate,Office Supplies,0.37,Central,236.2371,14,400.47,89639
0.05,178.47,411,Consumer,Office Supplies,0.55,West,943,9,1531.31,87905
0.09,999.99,421,Small Business,Technology,0.36,East,-2531.4825,1,919.09,87700
0.02,15.28,428,Corporate,Technology,0.42,West,163.1574,15,236.46,88479
0,85.99,428,Corporate,Technology,0.37,West,-302.225,1,73.82,88479
0.05,10.98,428,Corporate,Office Supplies,0.36,West,90.62,22,243.11,88480
0.05,125.99,437,Small Business,Technology,0.57,East,427.1184,9,952.26,90695
0,7.59,444,Small Business,Furniture,0.42,Central,86.438,43,355.92,88085
0.03,48.04,445,Small Business,Office Supplies,0.37,Central,-4.46,2,101.71,88083
0.09,200.98,445,Small Business,Furniture,0.75,Central,-512.872,9,1766.68,88084
0.09,2.78,445,Small Business,Office Supplies,0.59,Central,-3.784,11,29.02,88084
0.04,130.98,447,Corporate,Furniture,0.78,Central,-82.904,1,159.51,90449
0.05,200.99,447,Corporate,Technology,0.59,Central,1268.8065,11,1838.85,90449
0.03,15.99,451,Home Office,Technology,0.38,West,-53.2962,2,35.48,86010
0.04,37.7,451,Home Office,Office Supplies,0.35,West,299.6739,12,434.31,86012
0.01,8.88,451,Home Office,Office Supplies,0.35,West,-15.456,2,19.86,86013
0.06,2.88,451,Home Office,Office Supplies,0.36,West,16.0494,8,23.26,86013
0.01,55.99,452,Home Office,Technology,0.83,West,-235.895,1,51.83,86012
0.03,29.34,453,Corporate,Furniture,0.54,West,-41.32,1,32.4,86011
0.07,16.91,460,Home Office,Office Supplies,0.58,East,7.9,31,492.9,86014
0.07,165.2,463,Small Business,Office Supplies,0.59,West,521.69,7,1081.54,88061
0.08,297.64,466,Small Business,Technology,0.57,East,496.7968,5,1132.84,88060
0.02,12.99,467,Small Business,Furniture,0.73,East,-556.8096,11,143.63,88060
0.06,14.42,468,Small Business,Office Supplies,0.52,East,-27.7388,5,73.04,88060
0.05,4.14,469,Small Business,Furniture,0.49,East,-128.6872,7,33.35,88060
0.03,11.34,470,Small Business,Office Supplies,0.36,East,23.2028,5,60.24,88060
0.07,179.99,471,Consumer,Technology,0.48,South,-568.5351,4,718.03,3138
0.07,179.99,472,Consumer,Technology,0.48,East,-427.47,1,179.51,88023
0.03,11.97,483,Corporate,Office Supplies,0.58,Central,-18.19,6,73.18,90353
0.06,3.36,483,Corporate,Office Supplies,0.4,Central,-24.05754,2,8.82,90354
0.07,699.99,483,Corporate,Technology,0.41,Central,2583.56148,9,5976.09,90354
0.05,2.88,485,Corporate,Office Supplies,0.36,West,6.0513,3,8.77,91062
0.1,3.36,487,Corporate,Office Supplies,0.4,East,-67.0565,5,20.87,91063
0.07,12.28,488,Corporate,Office Supplies,0.38,East,-7.94,2,25.7,91063
0.09,20.99,489,Corporate,Technology,0.57,East,122.292,14,229.57,91063
0.08,2.94,491,Consumer,Office Supplies,0.58,East,-2.12,23,66.7,8353
0.01,4.98,491,Consumer,Office Supplies,0.36,East,-69.07,41,217,10464
0.02,1360.14,491,Consumer,Technology,0.59,East,2028.12,22,31670.6,6562
0.02,9.06,491,Consumer,Office Supplies,0.4,East,-63.51,24,239.82,42852
0.02,6.48,493,Consumer,Office Supplies,0.37,West,-92.05,10,66.71,88906
0.04,17.15,493,Consumer,Office Supplies,0.58,West,6.11,5,87.16,88906
0.06,8.32,494,Consumer,Technology,0.74,West,-36.63,12,101.26,88905
0.08,2.94,494,Consumer,Office Supplies,0.58,West,-2.12,6,17.4,88905
0.01,4.98,494,Consumer,Office Supplies,0.36,West,-35.9164,10,52.93,88907
0.02,1360.14,494,Consumer,Technology,0.59,West,3042.18,6,8637.44,88908
0.02,9.06,494,Consumer,Office Supplies,0.4,West,-31.755,6,59.95,88908
0.07,152.48,497,Small Business,Technology,0.74,South,171.8388,35,5062.49,90706
0.01,55.98,507,Corporate,Office Supplies,0.36,South,32.9409,11,646.97,87357
0.04,65.99,507,Corporate,Technology,0.56,South,131.334,17,946.29,87357
0.01,20.98,508,Corporate,Office Supplies,0.78,South,-282.0818,5,123,87356
0.01,128.24,508,Corporate,Furniture,,South,140.1354,4,554.08,87357
0.02,48.04,510,Corporate,Office Supplies,0.37,West,105.2526,3,152.54,90058
0.03,6.37,510,Corporate,Office Supplies,0.38,West,-29.0927,14,89.79,90059
0.07,12.64,518,Home Office,Furniture,0.48,Central,113.415,16,199.76,90867
0.02,150.98,522,Small Business,Technology,0.38,West,26.1,3,480.37,89327
0.1,5.43,522,Small Business,Office Supplies,0.36,West,-2.58,1,5.76,89327
0.01,179.29,522,Small Business,Furniture,0.74,West,2800.12,21,3112.13,89327
0.03,1270.99,524,Consumer,Office Supplies,0.35,South,363.552,2,2589.01,91127
0.07,2036.48,524,Consumer,Technology,0.55,South,-11.536,1,1893.93,91127
0.09,17.98,526,Home Office,Technology,0.4,West,-6.612,12,211.13,90026
0,1.88,526,Home Office,Office Supplies,0.37,West,-15.5595,13,25.39,90027
0.06,5.78,526,Home Office,Office Supplies,0.36,West,-108.19,15,87.27,90027
0,15.99,535,Corporate,Office Supplies,0.37,South,46.488,23,403.25,88511
0.05,59.78,539,Small Business,Office Supplies,0.39,Central,159.5297,7,414.49,91174
0.08,20.99,540,Small Business,Technology,0.83,Central,15.3714,28,469.69,91174
0.05,204.1,540,Small Business,Technology,0.37,Central,5924.1123,41,8585.67,91175
0.03,13.73,547,Corporate,Furniture,0.54,East,39.5853,4,57.37,86250
0.02,7.1,549,Corporate,Office Supplies,0.39,West,-66.378,9,66.32,90908
0.05,1.68,550,Corporate,Office Supplies,0.59,Central,-33.34,11,18.75,90909
0.1,218.75,550,Corporate,Furniture,0.77,Central,-201.276,1,188.51,90909
0.06,549.99,550,Corporate,Technology,0.35,Central,4637.4072,13,6720.88,90910
0.08,115.99,550,Corporate,Technology,0.57,Central,-239.5415,1,102.21,90910
0,15.04,551,Corporate,Office Supplies,0.39,Central,21.5142,2,31.18,90909
0,6.88,553,Home Office,Office Supplies,0.39,West,34.068,36,267.53,17155
0.07,2036.48,553,Corporate,Technology,0.55,West,4073.25,25,43046.2,2433
0.01,4.98,553,Corporate,Office Supplies,0.36,West,-179.592,63,330.21,8165
0.08,124.49,553,Corporate,Furniture,0.63,West,-500.38,56,6831.37,359
0.07,2036.48,555,Corporate,Technology,0.55,West,6028.41,6,10331.09,86190
0.01,4.98,555,Corporate,Office Supplies,0.36,West,-161.6328,16,83.86,86191
0.08,124.49,555,Corporate,Furniture,0.63,West,-250.19,14,1707.84,86192
0,6.88,556,Home Office,Office Supplies,0.39,West,46.1472,9,66.88,86189
0.03,32.48,556,Home Office,Office Supplies,0.81,West,-1116.3348,8,274.91,86189
0.02,280.98,568,Consumer,Furniture,0.78,South,1141.794,4,1128.74,88879
0.09,70.97,568,Consumer,Office Supplies,0.59,South,-99.568,12,805.99,88880
0.08,67.28,568,Consumer,Office Supplies,0.4,South,224.8506,16,1066.54,88882
0.06,7.99,570,Consumer,Technology,0.6,West,-122.133,10,65.74,88881
0.05,4.13,573,Home Office,Office Supplies,0.38,Central,-12.1555,1,5.84,86555
0.08,415.88,573,Corporate,Office Supplies,0.57,Central,-269.0844,1,405.57,86556
0.06,4.48,576,Corporate,Office Supplies,0.6,West,-566,4,32.6,88645
0.03,162.93,578,Corporate,Office Supplies,0.39,East,293.14,3,515.88,88644
0.01,11.58,579,Corporate,Office Supplies,0.35,East,-6.61,2,25.06,88644
0.01,55.99,580,Corporate,Technology,0.8,East,-57.541,12,578.24,88644
0.04,15.51,584,Corporate,Office Supplies,0.59,East,-266.22,7,116.93,88646
0.06,13.9,585,Corporate,Office Supplies,0.56,East,-67.59,12,170.45,88644
0.08,30.53,592,Small Business,Office Supplies,0.39,Central,-239.8656,10,285.87,86307
0.01,1.68,593,Small Business,Office Supplies,0.59,Central,-53.444,12,20.37,86307
0.09,13.79,594,Consumer,Furniture,0.43,Central,-22.12,1,17.44,86309
0.04,39.48,594,Consumer,Technology,0.54,Central,484.8492,18,702.68,86311
0.04,3.7,594,Consumer,Furniture,0.44,Central,18,18,67.24,86311
0.03,3.8,596,Consumer,Office Supplies,0.38,Central,15.2745,6,24.27,86308
0.07,7.98,596,Consumer,Office Supplies,0.35,Central,26.5857,5,38.53,86308
0.07,417.4,596,Consumer,Furniture,0.79,Central,-575.352,12,4910.72,86308
0.1,6.48,597,Small Business,Office Supplies,0.37,Central,-51.635,19,116.8,86310
0.06,6.48,600,Corporate,Office Supplies,0.37,East,-75.44,5,32.39,87579
0.02,35.99,603,Home Office,Technology,0.85,West,-120.934,7,227.79,87020
0.09,154.13,604,Corporate,Furniture,0.68,West,-1763.7477,38,5679.59,28647
0.03,1.88,604,Home Office,Office Supplies,0.37,West,-15.0995,52,102.32,34882
0.09,154.13,605,Corporate,Furniture,0.68,East,-1763.7477,10,1494.63,91144
0.02,15.57,617,Consumer,Office Supplies,0.38,West,23.5428,3,46.23,88198
0.02,20.89,617,Consumer,Office Supplies,0.83,West,-276.1128,13,279.28,88198
0.06,17.98,618,Consumer,Technology,0.79,West,-78.13,4,70.06,88197
0.06,5.38,618,Consumer,Office Supplies,0.36,West,-64.67094,14,81.82,88198
0.03,7.35,618,Consumer,Office Supplies,0.38,West,-11.1132,1,13.16,88198
0.03,14.2,619,Consumer,Furniture,0.46,Central,107.02,14,205.98,88196
0.1,6.88,621,Home Office,Office Supplies,0.39,East,18.42,5,31.46,91432
0.06,195.99,622,Home Office,Technology,0.6,East,349.47,6,948.97,91432
0.05,6.48,623,Home Office,Office Supplies,0.37,East,-226.3464,21,136.99,91433
